Collection_Sample,gDNA_Sample,Babesia_sp,Babesia_sp_Coco,Babesia_odocoieli,Borrelia_lonestari,Cryptoplasma_sp,Cytauxozoon_felis,Ehrlichia_chaffeensis,Ehrlichia_ewingii,Ehrlichia_sp_PanolaMountain,Hepatozoon_sp_A,Hepatozoon_sp_B,Rickettsia_amblyommatis,Rickettsia_andeanae,Rickettsia_parkeri,Rickettsia_rhiphicephali,Rickettsia_sp_Iaff,Rickettsia_sp_Iscap,Theileria_cervi
IS46,IS46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS47,IS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS48,IS48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS49,IS49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS50,IS50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS51,IS51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS52,IS52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS53,IS53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS54,IS54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS55,IS55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS56,IS56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS57,IS57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS58,IS58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS59,IS59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS60,IS60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS61,IS61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS62,IS62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS63,IS63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS64,IS64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS65,IS65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS66,IS66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
IS67,IS67,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS68,IS68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
IS69,IS69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
IS70,IS70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS71,IS71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IS72,IS72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS73,IS73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS74,IS74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS75,IS75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IS76,IS76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS77,IS77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
